noise_label,noise_rate,searcher,seed,osc,ctrl_gap,trt_gap,delta_gap
med_osc,1.0,successive_halving,5,0.4,0.030393009614152255,-0.12825237171824677,0.15864538133239903
med_osc,1.0,successive_halving,6,0.6,0.023761290060800522,0.0723485002477906,-0.04858721018699008
med_osc,1.0,successive_halving,7,0.2,0.12568798229504385,0.011116365510624227,0.11457161678441963
med_osc,1.0,successive_halving,8,0.575,0.004433624805130765,0.03647115860524264,-0.03203753380011187
med_osc,1.0,successive_halving,9,0.8,-0.009515699998374871,-0.1253867518786771,0.11587105188030222
med_osc,1.0,successive_halving,10,0.95,-0.05048895163602363,-0.04544276429094252,-0.00504618734508111
med_osc,1.0,successive_halving,11,0.475,-0.06961306596528127,-0.13109051162077434,0.06147744565549307
med_osc,1.0,successive_halving,12,0.45,0.07836729458539682,0.15844349390877221,-0.0800761993233754
med_osc,1.0,successive_halving,13,0.975,-0.07141947018837436,0.07583776039299528,-0.14725723058136964
med_osc,1.0,successive_halving,14,0.75,-0.02508240357444791,-0.19773053471599933,0.17264813114155142
low_osc,3.0,random_search,0,0.425,0.02705423521317374,0.18455315555295815,-0.1574989203397844
low_osc,3.0,random_search,1,0.65,0.10342455770516257,0.1610290008377544,-0.05760444313259183
low_osc,3.0,random_search,2,0.925,-0.0029837711460826144,0.0486163436062268,-0.05160011475230941
low_osc,3.0,random_search,3,0.95,0.0377702108959429,-0.0399333279309807,0.0777035388269236
low_osc,3.0,random_search,4,0.35,0.049920274456465075,0.1208493910183358,-0.07092911656187073
low_osc,3.0,random_search,5,0.8,0.05131292008086574,-0.025266110038714706,0.07657903011958045
low_osc,3.0,random_search,6,0.7,0.050454696066828064,0.03737447919136927,0.013080216875458794
low_osc,3.0,random_search,7,0.7,0.041371432242424455,-0.02498947925133721,0.06636091149376167
low_osc,3.0,random_search,8,0.725,0.04230522946585713,0.04508397497098526,-0.002778745505128133
low_osc,3.0,random_search,9,0.725,0.0840488385820578,-0.14355589879651198,0.2276047373785698
low_osc,3.0,random_search,10,0.9,0.11795275668842464,-0.06872698382872766,0.1866797405171523
low_osc,3.0,random_search,11,0.375,-0.00212106868833839,-0.12457771476220947,0.12245664607387108
low_osc,3.0,random_search,12,0.35,0.0724681671274795,0.14311940712594873,-0.07065123999846923
low_osc,3.0,random_search,13,0.825,0.029802407406266163,0.07458159281245325,-0.04477918540618708
low_osc,3.0,random_search,14,0.625,0.025670514441602066,-0.09290163051054146,0.11857214495214352
low_osc,3.0,bayesian_opt,0,0.875,0.09245190458722397,0.19610281432672227,-0.10365090973949831
low_osc,3.0,bayesian_opt,1,0.725,0.03654271654922736,0.17372139923757435,-0.137178682688347
low_osc,3.0,bayesian_opt,2,0.775,0.04746574023780459,0.05694345854561844,-0.009477718307813854
low_osc,3.0,bayesian_opt,3,0.8,0.014339765218272404,-0.03850312791297883,0.052842893131251234
low_osc,3.0,bayesian_opt,4,0.625,0.053787365384199926,0.1070705965427895,-0.05328323115858957
low_osc,3.0,bayesian_opt,5,0.9,0.0025153982437498,-0.04276777934401421,0.04528317758776401
low_osc,3.0,bayesian_opt,6,0.9,0.062043430956805645,0.019777124345521813,0.04226630661128383
low_osc,3.0,bayesian_opt,7,0.975,0.024041975707744356,-0.0149385801421692,0.038980555849913556
low_osc,3.0,bayesian_opt,8,0.525,0.06534405473171767,0.03064949561102881,0.03469455912068886
low_osc,3.0,bayesian_opt,9,0.925,0.04806355213984248,-0.13766910560109646,0.18573265774093894
low_osc,3.0,bayesian_opt,10,1.0,-0.014075371930983516,-0.07102463544172433,0.05694926351074081
low_osc,3.0,bayesian_opt,11,0.1,-0.031899435640599716,-0.13567453958882647,0.10377510394822675
low_osc,3.0,bayesian_opt,12,0.25,0.10959760657334505,0.14655067651103482,-0.036953069937689764
low_osc,3.0,bayesian_opt,13,0.925,0.024178401415519857,0.07578288538560096,-0.051604483970081105
low_osc,3.0,bayesian_opt,14,1.0,0.004398974356994101,-0.09463147106081626,0.09903044541781036
low_osc,3.0,successive_halving,0,0.15,0.08552698628257072,0.1451948661131902,-0.0596678798306195
low_osc,3.0,successive_halving,1,1.0,-0.0007265947691810215,0.15075915939958584,-0.15148575416876686
low_osc,3.0,successive_halving,2,1.0,-0.05372725664821265,0.056448026083642855,-0.1101752827318555
