noise_label,noise_rate,searcher,dataset,seed,osc,ws,ctrl_gap,trt_gap,delta_gap
med_osc,0.1,successive_halving,wine,2,0.5666666666666667,0.13333333333333333,0.018087855297157618,-0.023255813953488413,0.04134366925064603
med_osc,0.1,successive_halving,wine,3,0.8666666666666667,0.06666666666666667,-0.05620155038759689,-0.023255813953488413,-0.032945736434108475
med_osc,0.1,successive_halving,wine,4,0.5666666666666667,0.1,-0.08850129198966405,-0.023255813953488413,-0.06524547803617564
med_osc,0.1,successive_halving,wine,5,0.5333333333333333,0.2,-0.08850129198966405,-0.046511627906976716,-0.04198966408268734
med_osc,0.1,successive_halving,wine,6,0.13333333333333333,0.06666666666666667,0.004521963824289377,-0.023255813953488413,0.02777777777777779
med_osc,0.1,successive_halving,wine,7,0.1,0.13333333333333333,0.06459948320413444,-0.046511627906976716,0.11111111111111116
med_osc,0.1,successive_halving,wine,8,0.36666666666666664,0.13333333333333333,0.04134366925064603,-0.046511627906976716,0.08785529715762275
med_osc,0.1,successive_halving,wine,9,0.9666666666666667,0.16666666666666666,-0.07041343669250655,-0.023255813953488413,-0.047157622739018135
high_osc,0.0,random_search,breast_cancer,0,0.8333333333333334,0.23333333333333334,0.002945319503137478,-0.02772442054040203,0.030669740043539506
high_osc,0.0,random_search,breast_cancer,1,0.9333333333333333,0.1,0.021961838903828967,-0.010180560891279278,0.032142399795108245
high_osc,0.0,random_search,breast_cancer,2,0.9333333333333333,0.3,-0.020425150467409336,-0.010180560891279278,-0.010244589576130059
high_osc,0.0,random_search,breast_cancer,3,1.0,0.23333333333333334,0.005890639006274845,-0.02772442054040203,0.03361505954667687
high_osc,0.0,random_search,breast_cancer,4,0.8,0.2,0.02048917915226023,0.013189909079267537,0.007299270072992692
high_osc,0.0,random_search,breast_cancer,5,0.7666666666666667,0.2,0.02048917915226023,-0.010180560891279278,0.030669740043539506
high_osc,0.0,random_search,breast_cancer,6,0.8,0.3,0.013189909079267537,-0.020425150467409336,0.03361505954667687
high_osc,0.0,random_search,breast_cancer,7,0.9333333333333333,0.13333333333333333,0.004417979254706106,-0.002881290818286586,0.007299270072992692
high_osc,0.0,random_search,breast_cancer,8,0.9666666666666667,0.13333333333333333,0.013189909079267537,-0.002881290818286586,0.016071199897554123
high_osc,0.0,random_search,breast_cancer,9,1.0,0.13333333333333333,0.004417979254706106,-0.020425150467409336,0.024843129722115442
high_osc,0.0,random_search,wine,0,0.9333333333333333,0.06666666666666667,0.0,-0.046511627906976716,0.046511627906976716
high_osc,0.0,random_search,wine,1,0.9,0.06666666666666667,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,random_search,wine,2,0.8666666666666667,0.16666666666666666,0.02777777777777779,-0.023255813953488413,0.051033591731266204
high_osc,0.0,random_search,wine,3,0.8666666666666667,0.13333333333333333,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,random_search,wine,4,0.9,0.2,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,random_search,wine,5,0.9666666666666667,0.13333333333333333,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,random_search,wine,6,0.7333333333333333,0.1,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,random_search,wine,7,0.8,0.13333333333333333,0.0,-0.023255813953488413,0.023255813953488413
